Table 26,,,,,
Full-time Law Enforcement Employees,,,,,
"by State by City, 2016",,,,,
State,City,Population,"Total law
enforcement
employees","Total 
officers","Total 
civilians"
,Aspen,"6,926",36,27,9
,Ault,"1,642",6,5,1
,Aurora,"366,477",810,670,140
,Avon,"6,532",19,17,2
,Basalt,"3,900",12,11,1
,Bayfield,"2,611",8,8,0
,Black Hawk,126,34,23,11
,Blue River,915,2,1,1
,Boulder,"109,189",267,176,91
,Breckenridge,"4,971",31,23,8
,Brighton,"38,363",88,63,25
,Broomfield,"66,953",209,108,101
,Brush,"5,456",14,11,3
,Buena Vista,"2,790",9,8,1
,Burlington,"3,624",8,7,1
,Calhan,790,3,3,0
,Campo,104,2,2,0
,Canon City,"16,390",40,32,8
,Carbondale,"6,728",17,15,2
,Castle Rock,"57,109",93,69,24
,Cedaredge,"2,170",8,6,2
,Centennial,"111,479",171,137,34
,Center,"2,196",14,8,6
,Central City,736,2,2,0
,Cherry Hills Village,"6,649",28,23,5
,Collbran,702,2,2,0
,Colorado Springs,"464,113",924,645,279
,Columbine Valley,"1,381",6,6,0
,Commerce City,"55,341",120,96,24
,Cortez,"8,761",49,29,20
,Craig,"8,724",26,21,5
,Crested Butte,"1,599",8,6,2
,Cripple Creek,"1,147",26,18,8
,Dacono,"4,925",13,10,3
,De Beque,496,4,4,0
,Del Norte,"1,588",4,3,1
,Delta,"8,778",20,17,3
,Denver,"699,259","1,799","1,483",316
,Dillon,972,9,8,1
,Durango,"18,248",65,55,10
,Eagle,"6,715",12,11,1
,Eaton,"5,045",10,8,2
,Edgewater,"5,330",18,17,1
,Elizabeth,"1,411",6,5,1
,Englewood,"33,657",100,71,29
,Erie,"22,115",27,25,2
,Estes Park,"6,335",30,19,11
,Evans,"21,975",38,35,3
,Fairplay,681,3,3,0
,Federal Heights,"12,563",36,24,12
,Firestone,"12,375",26,21,5
,Florence,"3,861",12,11,1
,Fort Collins,"164,670",292,206,86
,Fort Lupton,"7,903",16,14,2
,Fort Morgan,"11,313",31,26,5
,Fountain,"28,115",62,51,11
,Fowler,"1,141",3,3,0
,Fraser/Winter Park,"2,205",10,9,1
,Frederick,"12,045",20,17,3
,Frisco,"3,108",15,10,5
,Fruita,"12,825",18,16,2
,Georgetown,"1,052",3,3,0
,Glendale,"5,396",36,25,11
,Glenwood Springs,"9,978",31,24,7
,Golden,"20,616",64,43,21
,Granby,"1,880",7,6,1
,Grand Junction,"60,628",197,111,86
,Greeley,"102,491",196,145,51
,Greenwood Village,"16,024",89,63,26
,Gunnison,"6,110",30,14,16
,Gypsum,"7,012",3,3,0
,Haxtun,926,3,3,0
,Hayden,"1,847",6,4,2
,Holyoke,"2,237",3,3,0
,Hotchkiss,895,3,3,0
,Hudson,"1,477",3,3,0
,Hugo,737,2,2,0
,Idaho Springs,"1,730",8,7,1
,Ignacio,723,7,6,1
,Johnstown,"16,143",20,18,2
,Kersey,"1,602",4,4,0
,Kiowa,753,4,4,0
,Kremmling,"1,461",4,4,0
,Lafayette,"28,421",48,38,10
,La Junta,"6,919",17,10,7
,Lakeside,8,7,6,1
,Lakewood,"154,553",417,263,154
,Lamar,"7,479",33,19,14
,La Salle,"2,070",8,8,0
,La Veta,752,2,2,0
,Leadville,"2,656",10,9,1
,Limon,"1,917",6,5,1
,Littleton,"47,288",95,70,25
,Lochbuie,"5,516",10,9,1
,Log Lane Village,873,2,2,0
,Lone Tree,"13,593",49,42,7
,Longmont,"93,268",204,137,67
,Louisville,"20,814",38,32,6
,Loveland,"76,936",149,103,46
,Mancos,"1,388",4,4,0
,Manitou Springs,"5,397",18,16,2
,Manzanola,416,2,2,0
,Meeker,"2,344",6,6,0
,Milliken,"6,551",11,9,2
,Monte Vista,"4,262",17,14,3
,Montrose,"19,054",50,36,14
,Monument,"6,497",17,14,3
,Morrison,436,10,9,1
,Mountain View,532,8,8,0
,Mountain Village,"1,412",9,6,3
,Mount Crested Butte,833,9,8,1
,Nederland,"1,534",6,5,1
,New Castle,"4,706",9,8,1
,Northglenn,"39,890",79,60,19
,Oak Creek,894,3,3,0
,Olathe,"1,790",4,4,0
,Ouray,"1,008",6,6,0
,Pagosa Springs,"1,763",8,7,1
,Palisade,"2,654",10,8,2
,Palmer Lake,"2,621",2,2,0
,Paonia,"1,395",4,4,0
,Parachute,"1,110",5,4,1
,Parker,"50,409",113,72,41
,Platteville,"3,737",6,6,0
,Pueblo,"109,927",250,195,55
,Rangely,"2,378",10,5,5
,Ridgway,987,3,3,0
,Rifle,"9,613",24,20,4
,Rocky Ford,"3,801",8,8,0
,Salida,"5,516",17,15,2
,Sanford,846,1,1,0
,Sheridan,"6,113",34,31,3
,Silt,"3,069",6,6,0
,Silverthorne,"4,530",16,14,2
,Simla,635,2,2,0
,Snowmass Village,"2,935",13,10,3
,South Fork,359,2,2,0
,Springfield,"1,385",4,4,0
,Steamboat Springs,"12,512",37,24,13
,Sterling,"14,087",25,20,5
,Stratton,659,1,1,0
,Telluride,"2,434",15,10,5
,Thornton,"136,451",245,180,65
,Timnath,"3,234",7,6,1
,Trinidad,"7,990",31,22,9
,Vail,"5,496",61,29,32
,Walsenburg,"2,871",10,8,2
,Walsh,512,1,1,0
,Westminster,"114,514",247,174,73
,Wheat Ridge,"31,389",102,75,27
,Wiggins,893,2,2,0
,Windsor,"22,404",27,23,4
,Woodland Park,"7,226",28,19,9
,Wray,"2,382",7,6,1
,Yuma,"3,612",8,7,1
CONNECTICUT,Ansonia,"18,776",49,42,7
,Avon,"18,464",41,32,9
,Berlin,"20,695",55,42,13
,Bethel,"19,712",50,37,13
,Bloomfield,"20,801",59,47,12
,Branford,"28,168",62,49,13
,Bridgeport,"148,180",433,376,57
,Bristol,"60,445",143,118,25
,Brookfield,"17,278",43,33,10
,Canton,"10,337",20,15,5
,Cheshire,"29,259",59,47,12
,Clinton,"13,008",36,27,9
,Coventry,"12,437",19,14,5
,Cromwell,"14,041",33,25,8
,Danbury,"85,335",151,146,5
,Darien,"21,995",57,49,8
,Derby,"12,660",36,34,2
,East Hampton,"12,839",17,15,2
,East Hartford,"50,733",153,123,30
,East Haven,"28,879",56,52,4
,Easton,"7,649",17,15,2
,East Windsor,"11,443",34,26,8
,Enfield,"44,258",114,94,20
,Fairfield,"61,889",113,107,6
,Farmington,"25,684",61,45,16
,Glastonbury,"34,724",75,57,18
,Granby,"11,301",20,15,5
,Greenwich,"62,970",178,151,27
,Groton,"9,189",34,27,7
,Groton Long Point,512,5,5,0
,Groton Town,"29,910",64,59,5
,Guilford,"22,343",40,33,7
,Hamden,"61,138",135,108,27
,Hartford,"123,736",430,398,32
,Madison,"18,212",41,27,14
,Manchester,"57,957",135,104,31
,Meriden,"59,812",125,113,12
,Middlebury,"7,645",13,11,2
,Middletown,"46,580",122,109,13
,Milford,"53,752",138,116,22
,Monroe,"19,898",56,43,13
,Naugatuck,"31,469",68,57,11
,New Britain,"72,720",169,161,8
,New Canaan,"20,509",51,45,6
,New Haven,"130,425",509,454,55
,Newington,"30,610",64,51,13
,New London,"27,092",92,77,15
,New Milford,"27,111",62,50,12
,Newtown,"28,105",48,44,4
,North Branford,"14,234",27,22,5
,North Haven,"23,777",58,49,9
,Norwalk,"88,989",217,177,40
,Norwich,"39,771",102,88,14
,Old Saybrook,"10,145",32,25,7
,Orange,"13,940",53,43,10
,Plainfield,"15,015",22,18,4
,Plainville,"17,782",45,37,8
,Plymouth,"11,731",30,24,6
,Portland,"9,369",12,11,1
,Putnam,"9,331",18,15,3
,Redding,"9,317",23,17,6
,Ridgefield,"25,358",48,42,6
,Rocky Hill,"20,085",48,36,12
,Seymour,"16,462",43,41,2
,Shelton,"41,638",61,52,9
,Simsbury,"24,519",47,37,10
,Southington,"43,948",89,68,21
,South Windsor,"25,803",52,38,14
,Stamford,"130,116",315,267,48
,Stonington,"18,337",48,37,11
,Stratford,"52,841",107,100,7
,Suffield,"15,641",22,17,5
,Thomaston,"7,570",28,16,12
,Torrington,"34,626",87,76,11
,Trumbull,"36,741",86,75,11
,Vernon,"28,915",64,49,15
,Wallingford,"44,840",90,69,21
,Waterbury,"108,491",316,272,44
,Waterford,"19,236",54,47,7
,Watertown,"21,792",48,39,9
,West Hartford,"62,979",146,128,18
,West Haven,"54,800",138,123,15
,Weston,"10,425",17,16,1
,Westport,"28,198",75,62,13
,Wethersfield,"26,306",61,48,13
,Willimantic,"17,766",48,43,5
,Wilton,"18,845",47,45,2
,Winchester,"10,750",24,19,5
,Windsor,"28,998",67,54,13
,Windsor Locks,"12,543",32,25,7
,Wolcott,"16,666",32,23,9
,Woodbridge,"8,864",31,23,8
DELAWARE,Bethany Beach,"1,193",11,9,2
,Blades,"1,377",3,3,0
,Bridgeville,"2,297",8,5,3
,Camden,"3,512",9,8,1
,Cheswold,"1,424",3,3,0
,Clayton,"3,165",10,9,1
,Dagsboro,875,4,4,0
,Delaware City,"1,750",5,4,1
,Delmar,"1,757",13,12,1
,Dewey Beach,378,10,8,2
,Dover,"37,824",136,105,31
,Ellendale,422,1,1,0
,Elsmere,"6,149",13,12,1
,Felton,"1,423",4,4,0
,Fenwick Island,425,6,6,0
,Frankford,950,1,1,0
,Georgetown,"7,177",20,18,2
,Greenwood,"1,086",5,4,1
,Harrington,"3,719",13,12,1
,Laurel,"4,150",16,15,1
,Lewes,"3,065",13,12,1
,Middletown,"20,666",35,31,4
,Milford,"10,392",40,30,10
,Millsboro,"4,286",13,12,1
,Milton,"2,875",8,8,0
,Newark,"34,297",88,71,17
,New Castle,"5,392",17,16,1
,Newport,"1,059",10,9,1
,Ocean View,"2,075",10,9,1
,Rehoboth Beach,"1,485",27,17,10
,Seaford,"7,725",35,22,13
,Selbyville,"2,440",7,6,1
,Smyrna,"11,573",29,22,7
,South Bethany,507,8,7,1
,Wilmington,"72,183",360,302,58
,Wyoming,"1,497",4,4,0
DISTRICT OF COLUMBIA,Washington,"681,170","4,352","3,753",599
FLORIDA,Alachua,"9,900",31,22,9
,Altamonte Springs,"43,499",114,98,16
,Apalachicola,"2,291",8,7,1
,Apopka,"49,796",128,94,34
,Arcadia,"7,893",19,15,4
,Astatula,"1,938",6,6,0
,Atlantic Beach,"13,302",37,25,12
,Atlantis,"2,126",19,14,5
,Auburndale,"15,356",41,33,8
,Aventura,"38,009",119,80,39
,Bal Harbour Village,"2,955",36,24,12
,Bartow,"19,322",58,36,22
,Bay Harbor Islands,"6,117",29,22,7
,Belleair,"4,017",14,12,2
,Belle Isle,"6,835",16,15,1
,Belleview,"4,813",16,14,2
,Biscayne Park,"3,243",10,10,0
,Blountstown,"2,495",14,10,4
,Boca Raton,"94,931",287,182,105
,Bonifay,"2,712",6,6,0
,Bowling Green,"2,916",7,7,0
,Boynton Beach,"75,141",202,148,54
,Bradenton,"55,518",145,118,27
,Bradenton Beach,"1,257",10,10,0
,Brooksville,"7,881",26,23,3
,Bunnell,"2,856",11,9,2
,Cape Coral,"179,631",306,221,85
,Casselberry,"27,220",57,48,9
,Cedar Key,703,3,3,0
,Chattahoochee,"3,059",11,10,1
,Chiefland,"2,213",14,12,2
,Chipley,"3,557",12,11,1
,Clearwater,"113,904",352,231,121
,Clermont,"33,158",71,65,6
,Clewiston,"7,579",25,17,8
,Cocoa,"17,825",87,63,24
,Cocoa Beach,"11,669",50,33,17
,Coconut Creek,"60,633",130,96,34
,Cooper City,"36,900",77,59,18
,Coral Gables,"51,980",229,160,69
,Coral Springs,"131,159",290,193,97
,Cottondale,894,3,3,0
,Crescent City,"1,533",6,5,1
,Crestview,"23,749",60,48,12
,Cross City,"1,702",5,5,0
,Dade City,"7,061",29,22,7
,Dania,"31,806",75,68,7
,Davenport,"3,677",12,11,1
,Davie,"102,692",248,184,64
,Daytona Beach,"65,495",250,218,32
,Daytona Beach Shores,"4,417",36,28,8
,Deerfield Beach,"80,713",132,122,10
,De Funiak Springs,"5,927",27,20,7
,DeLand,"30,881",74,56,18
,Delray Beach,"67,400",213,155,58
,Doral,"58,309",158,118,40
,Edgewater,"21,729",35,30,5
,Edgewood,"2,856",16,13,3
,El Portal,"2,509",8,8,0
,Eustis,"20,292",51,38,13
,Fernandina Beach,"12,489",37,32,5
,Flagler Beach,"4,946",17,15,2
,Fort Lauderdale,"181,218",662,508,154
,Fort Myers,"76,579",238,179,59
,Fort Pierce,"44,987",133,108,25
,Fort Walton Beach,"22,314",54,40,14
,Fruitland Park,"4,548",15,14,1
,Gainesville,"131,242",360,299,61
,Green Cove Springs,"7,352",20,15,5
,Groveland,"12,192",33,26,7
,Gulf Breeze,"6,435",24,17,7
,Gulfport,"12,384",34,30,4
,Gulf Stream,846,12,12,0
,Haines City,"23,278",57,44,13
,Hallandale,"39,960",129,92,37
,Havana,"1,674",13,9,4
,Hialeah,"239,451",324,260,64
,Hialeah Gardens,"24,370",54,38,16
,Highland Beach,"3,767",15,14,1
,Holly Hill,"12,002",31,27,4
,Homestead,"67,700",152,112,40
,Howey-in-the-Hills,"1,179",6,6,0
,Indialantic,"2,861",15,10,5
,Indian Creek Village,92,14,10,4
,Indian Harbour Beach,"8,523",27,20,7
,Indian River Shores,"4,209",22,19,3
,Interlachen,"1,346",4,4,0
,Jacksonville,"880,557","2,947","1,758","1,189"
,Jacksonville Beach,"23,418",81,62,19
,Jasper,"4,099",8,7,1
,Jennings,869,2,2,0
,Juno Beach,"3,532",17,15,2
,Jupiter,"64,273",142,114,28
,Jupiter Inlet Colony,454,6,6,0
,Jupiter Island,901,24,16,8
,Kenneth City,"5,095",13,12,1
,Key Biscayne,"13,113",44,33,11
,Key Colony Beach,862,5,5,0
,Key West,"25,976",118,92,26
,Kissimmee,"71,197",220,126,94
,Lady Lake,"14,877",34,27,7
,Lake Alfred,"5,568",14,10,4
,Lake City,"12,186",54,38,16
,Lake Clarke Shores,"3,586",12,11,1
,Lake Hamilton,"1,370",7,6,1
,Lake Helen,"2,700",5,4,1
,Lakeland,"105,766",353,237,116
,Lake Mary,"16,506",59,42,17
,Lake Placid,"2,172",10,8,2
,Lake Wales,"15,819",48,43,5
,Lantana,"11,239",37,29,8
,Largo,"81,402",182,140,42
,Lauderdale-by-the-Sea,"6,541",26,24,2
,Lauderdale Lakes,"35,222",41,39,2
,Lauderhill,"72,504",123,98,25
,Lawtey,717,2,2,0
,Leesburg,"22,313",82,58,24
,Lighthouse Point,"11,256",41,32,9
,Live Oak,"6,946",22,18,4
,Longboat Key,"7,343",26,18,8
,Longwood,"14,171",47,42,5
,Lynn Haven,"20,496",36,26,10
,Madison,"2,849",15,14,1
,Maitland,"17,824",51,44,7
,Manalapan,458,12,10,2
,Marco Island,"17,947",37,34,3
,Margate,"58,030",140,105,35
,Marianna,"9,464",22,17,5
,Mascotte,"5,549",13,12,1
,Melbourne,"80,900",211,152,59
,Melbourne Beach,"3,243",11,10,1
,Melbourne Village,697,5,5,0
,Mexico Beach,"1,187",8,7,1
,Miami,"449,469","1,559","1,201",358
,Miami Beach,"93,165",492,394,98
,Miami Springs,"14,620",53,41,12
,Midway,"3,325",5,5,0
,Milton,"9,788",25,19,6
,Miramar,"140,288",272,203,69
,Monticello,"2,393",13,9,4
,Mount Dora,"13,796",51,34,17
,Naples,"21,917",98,67,31
,Neptune Beach,"7,316",27,20,7
,New Port Richey,"16,038",58,41,17
,New Smyrna Beach,"24,658",57,44,13
,Niceville,"15,142",34,26,8
,North Bay Village,"8,552",36,26,10
,North Lauderdale,"44,229",58,51,7
,North Miami,"62,974",160,114,46
,North Miami Beach,"44,442",140,106,34
,North Palm Beach,"13,023",31,30,1
,North Port,"63,386",127,98,29
,Oakland,"2,890",12,11,1
,Oakland Park,"44,903",96,85,11
,Ocala,"58,596",231,159,72
,Ocean Ridge,"1,928",21,16,5
,Ocoee,"45,330",89,77,12
,Orange City,"11,262",28,23,5
,Orange Park,"8,763",29,21,8
,Orlando,"277,719",915,715,200
,Ormond Beach,"41,325",82,61,21
,Palatka,"10,362",38,30,8
,Palm Bay,"108,823",212,155,57
,Palm Beach,"8,702",93,62,31
,Palm Beach Gardens,"53,811",159,108,51
,Palm Beach Shores,"1,221",15,11,4
,Palmetto,"13,371",47,34,13
,Palm Springs,"22,581",68,44,24
,Panama City,"38,847",131,95,36
,Panama City Beach,"12,844",77,58,19
,Parker,"4,661",10,9,1
,Parkland,"31,571",45,40,5
,Pembroke Pines,"169,156",298,218,80
,Pensacola,"53,424",200,140,60
,Perry,"7,063",22,20,2
,Pinellas Park,"52,113",121,101,20
,Plantation,"94,075",252,165,87
,Plant City,"37,949",84,67,17
,Ponce Inlet,"3,183",14,12,2
,Port Orange,"60,546",99,85,14
,Port Richey,"2,779",19,13,6
,Port St. Joe,"3,441",8,8,0
,Port St. Lucie,"182,365",289,229,60
,Punta Gorda,"18,466",49,34,15
,Quincy,"7,760",33,25,8
,Riviera Beach,"34,304",150,107,43
,Rockledge,"26,967",71,50,21
,Sanibel,"7,395",39,25,14
,Sarasota,"55,732",209,163,46
,Satellite Beach,"10,737",30,21,9
,Sea Ranch Lakes,739,11,7,4
,Sebastian,"24,441",52,34,18
,Sebring,"10,516",39,35,4
,Sewall's Point,"2,180",10,9,1
,South Daytona,"12,653",32,26,6
,South Miami,"12,354",55,50,5
,South Palm Beach,"1,437",8,8,0
,Springfield,"9,550",24,19,5
,Starke,"5,390",20,19,1
,St. Augustine,"14,359",62,49,13
,St. Cloud,"47,289",117,79,38
,St. Petersburg,"259,510",759,548,211
,Stuart,"16,640",70,44,26
,Sunrise,"94,400",231,175,56
,Tallahassee,"191,564",437,372,65
,Tamarac,"65,516",99,81,18
,Tampa,"375,904","1,212",951,261
,Tarpon Springs,"24,834",61,48,13
,Tavares,"15,741",28,25,3
,Temple Terrace,"25,972",66,50,16
,Tequesta,"6,003",23,18,5
,Titusville,"45,723",123,86,37
,Trenton,"2,079",4,3,1
,Umatilla,"3,751",9,8,1
,Valparaiso,"5,023",15,11,4
,Venice,"22,514",57,44,13
,Vero Beach,"16,589",71,52,19
,Village of Pinecrest,"19,692",78,54,24
,Virginia Gardens,"2,508",8,7,1
,Wauchula,"4,936",17,13,4
,West Melbourne,"21,156",44,37,7
,West Miami,"7,163",22,18,4
,West Palm Beach,"108,074",365,278,87
,White Springs,773,10,10,0
,Wildwood,"6,788",43,33,10
,Williston,"2,741",18,11,7
,Wilton Manors,"12,535",48,33,15
,Windermere,"3,320",14,13,1
,Winter Garden,"41,556",100,71,29
,Winter Haven,"38,488",112,86,26
,Winter Park,"30,359",110,80,30
,Winter Springs,"35,100",65,51,14
,Zephyrhills,"14,833",45,30,15
GEORGIA,Abbeville,"2,796",5,5,0
,Adairsville,"4,804",18,16,2
,Adel,"5,313",23,21,2
,Alamo,"3,374",4,4,0
,Alapaha,653,2,1,1
,Albany,"74,330",186,162,24
,Alma,"3,548",12,10,2
,Alto,"1,166",3,1,2
,Americus,"15,838",39,33,6
,Aragon,"1,241",4,3,1
,Arcade,"1,801",3,3,0
,Ashburn,"3,757",18,16,2
,Athens-Clarke County,"123,934",292,228,64
,Atlanta,"472,579","2,140","1,694",446
,Auburn,"7,621",23,16,7
,Austell,"7,204",32,23,9
,Avondale Estates,"3,175",11,11,0
,Bainbridge,"12,473",46,44,2
,Baldwin,"3,287",14,7,7
,Barnesville,"6,611",19,17,2
,Baxley,"4,452",12,11,1
,Berlin,559,1,1,0
,Blackshear,"3,608",16,13,3
,Blairsville,542,8,7,1
,Bloomingdale,"2,778",15,12,3
,Blythe,697,1,1,0
,Braselton,"9,912",17,16,1
,Bremen,"6,380",22,20,2
,Brookhaven,"52,442",85,77,8
,Brunswick,"16,309",63,59,4
,Byron,"5,222",23,19,4
,Cairo,"9,772",24,21,3
,Calhoun,"16,439",49,42,7
,Camilla,"5,080",18,16,2
,Canton,"25,985",50,45,5
,Carrollton,"26,593",76,63,13
,Centerville,"7,657",18,15,3
,Chatsworth,"4,362",17,15,2
,Claxton,"2,324",9,8,1
,Clayton,"2,250",12,12,0
,Cleveland,"3,828",16,15,1
,Cochran,"4,234",14,13,1
,College Park,"14,724",117,91,26
,Conyers,"16,004",84,64,20
,Coolidge,526,2,1,1
,Cordele,"10,907",35,26,9
,Covington,"14,077",66,55,11
,Cumming,"5,772",24,15,9
,Dallas,"13,135",29,20,9
,Dalton,"33,989",96,83,13
,Danielsville,579,3,3,0
,Darien,"1,842",10,10,0
,Davisboro,"1,989",2,2,0
,Dawson,"4,315",23,16,7
,Decatur,"22,449",51,39,12
,Doerun,772,4,4,0
,Donalsonville,"2,680",13,9,4
,Douglasville,"33,287",122,97,25
,Dublin,"16,195",63,57,6
,Duluth,"29,720",93,78,15
,Dunwoody,"49,232",64,54,10
,Eastman,"5,232",15,13,2
,Eatonton,"6,528",22,15,7
,Elberton,"4,432",22,20,2
,Ellaville,"1,892",6,6,0
,Ellijay,"1,691",10,10,0
,Emerson,"1,546",11,9,2
,Enigma,"1,285",3,3,0
,Eton,902,3,3,0
,Fairburn,"14,151",44,37,7
,Fairmount,739,6,5,1
,Fayetteville,"17,157",46,41,5
,Fitzgerald,"9,001",28,23,5
,Flowery Branch,"6,895",18,16,2
,Folkston,"5,349",7,6,1
,Forest Park,"19,570",89,68,21
,Forsyth,"4,042",18,13,5
,Fort Oglethorpe,"9,911",29,27,2
,Fort Valley,"8,374",29,23,6
,Franklin,964,8,8,0
,Franklin Springs,"1,195",2,2,0
,Gainesville,"39,425",111,98,13
,Glennville,"5,068",15,13,2
,Glenwood,737,2,2,0
,Gordon,"1,946",11,6,5
,Gray,"3,271",14,13,1
,Greensboro,"3,411",22,18,4
,Grovetown,"13,469",28,21,7
,Guyton,"1,891",4,4,0
,Hahira,"2,928",8,7,1
,Hampton,"7,451",18,16,2
,Harlem,"3,026",8,7,1
,Hartwell,"4,523",26,20,6
,Hazlehurst,"4,189",17,13,4
,Helen,536,9,8,1
,Hiram,"3,840",18,15,3
,Hoboken,531,2,1,1
,Hogansville,"3,126",21,14,7
,Holly Springs,"11,034",28,27,1
,Homeland,861,7,7,0
,Homerville,"2,487",13,11,2
,Jackson,"4,966",14,12,2
,Jesup,"9,525",29,27,2
,Johns Creek,"84,629",81,72,9
,Jonesboro,"4,752",39,31,8
,Kennesaw,"34,204",75,58,17
,Kingsland,"16,597",35,33,2
,Kingston,657,1,1,0
,Lafayette,"7,185",24,22,2
,LaGrange,"30,931",100,84,16
,Lake City,"2,752",20,19,1
,Lakeland,"3,314",7,5,2
,Lake Park,729,4,4,0
,Lawrenceville,"30,913",94,70,24
,Leary,583,2,1,1
,Leslie,384,4,3,1
,Lilburn,"12,854",38,30,8
,Locust Grove,"5,862",23,20,3
,Loganville,"11,409",33,30,3
,Lyons,"4,372",20,18,2
,Madison,"4,034",17,15,2
,Manchester,"4,068",15,10,5
,Marietta,"59,516",175,137,38
,McIntyre,615,5,5,0
,McRae-Helena,"8,786",12,11,1
,Metter,"4,107",11,10,1
,Midville,262,1,1,0
,Midway,"1,992",6,6,0
,Milledgeville,"19,072",68,44,24
,Millen,"2,889",10,10,0
,Milton,"38,551",41,37,4
,Montezuma,"3,141",13,11,2
,Mountain City,"1,056",3,3,0
,Mount Zion,"1,743",4,4,0
,Nashville,"4,834",17,14,3
,Newnan,"38,137",93,79,14
,Nicholls,"3,378",3,2,1
,Norcross,"16,929",58,42,16
,Norman Park,961,3,2,1
,Oakwood,"4,218",16,14,2
,Oxford,"2,210",4,4,0
,Palmetto,"4,780",17,15,2
,Patterson,755,2,2,0
,Peachtree City,"35,387",68,63,5
,Pelham,"3,669",13,12,1
,Pine Mountain,"1,368",10,8,2
,Pooler,"24,006",55,49,6
,Porterdale,"1,494",4,4,0
,Port Wentworth,"8,177",32,27,5
,Poulan,793,6,5,1
,Powder Springs,"15,004",33,30,3
,Quitman,"3,863",18,16,2
,Remerton,"1,127",9,8,1
,Reynolds,"1,016",8,6,2
,Richland,"1,502",7,7,0
,Richmond Hill,"12,520",39,32,7
,Ringgold,"3,722",11,11,0
,Riverdale,"16,142",52,38,14
,Rochelle,"1,109",6,4,2
,Rockmart,"4,322",20,18,2
,Rome,"36,278",97,89,8
,Roswell,"95,684",196,141,55
,Royston,"2,574",15,13,2
,Sandersville,"5,724",21,18,3
,Sandy Springs,"107,685",144,127,17
,Sardis,957,5,5,0
,Savannah-Chatham Metropolitan,"241,296",821,570,251
,Senoia,"4,233",17,15,2
,Sky Valley,264,2,2,0
,Smyrna,"57,152",127,90,37
,Snellville,"20,025",56,44,12
,Sparks,"1,999",3,3,0
,Sparta,"1,275",10,4,6
,Springfield,"2,903",7,6,1
,Statesboro,"31,176",80,61,19
,Statham,"2,647",6,5,1
,Stillmore,527,1,1,0
,St. Marys,"18,102",33,30,3
,Stone Mountain,"6,171",19,18,1
,Summerville,"4,442",17,16,1
,Suwanee,"19,432",45,36,9
,Swainsboro,"7,512",24,21,3
,Sylvania,"2,527",13,11,2
,Sylvester,"6,019",23,19,4
,Talbotton,874,2,2,0
,Tallapoosa,"3,170",11,10,1
,Tallulah Falls,168,2,2,0
,Tennille,"1,826",3,3,0
,Thunderbolt,"2,641",12,10,2
,Tifton,"16,799",46,38,8
,Toccoa,"8,252",28,27,1
,Trenton,"2,226",8,8,0
,Tybee Island,"3,124",33,24,9
,Tyrone,"7,243",19,17,2
,Valdosta,"55,880",157,135,22
,Vidalia,"10,721",43,29,14
,Vienna,"3,735",9,7,2
,Villa Rica,"15,095",48,40,8
,Walthourville,"3,957",6,5,1
,Warner Robins,"74,419",146,104,42
,Warwick,404,6,5,1
,Watkinsville,"2,877",8,8,0
,Waverly Hall,842,3,3,0
,Waycross,"13,934",62,52,10
,West Point,"3,785",23,15,8
,Whigham,480,4,3,1
,Willacoochee,"1,395",6,5,1
,Winder,"15,652",42,37,5
,Winterville,"1,182",2,2,0
,Woodland,361,1,1,0
,Woodstock,"31,243",55,50,5
,Wrens,"2,026",8,7,1
,Wrightsville,"3,620",6,5,1
,Zebulon,"1,150",6,6,0
HAWAII,Honolulu,"995,572","2,537","2,042",495
IDAHO,Aberdeen,"1,915",7,4,3
,American Falls,"4,291",10,8,2
,Bellevue,"2,296",5,5,0
,Blackfoot,"11,700",30,27,3
,Boise,"220,749",363,272,91
,Bonners Ferry,"2,549",7,7,0
,Buhl,"4,305",9,8,1
,Caldwell,"52,792",78,64,14
,Chubbuck,"14,515",33,19,14
,Coeur d'Alene,"50,155",98,80,18
,Cottonwood,925,1,1,0
,Emmett,"6,617",14,13,1
,Filer,"2,724",6,6,0
,Fruitland,"5,170",15,9,6
,Garden City,"11,667",35,27,8
,Gooding,"3,497",9,7,2
,Grangeville,"3,156",6,6,0
,Hagerman,866,1,1,0
,Hailey,"8,175",14,13,1
,Heyburn,"3,250",8,7,1
,Homedale,"2,554",6,6,0
,Idaho City,472,1,1,0
,Idaho Falls,"59,615",132,87,45
,Jerome,"11,234",21,18,3
,Kamiah,"1,269",4,4,0
,Kellogg,"2,061",7,7,0
,Ketchum,"2,732",15,11,4
,Kimberly,"3,680",9,8,1
,Lewiston,"32,665",63,41,22
,McCall,"3,139",14,12,2
,Meridian,"94,113",115,92,23
,Montpelier,"2,493",5,5,0
,Moscow,"25,307",43,35,8
,Mountain Home,"13,627",31,26,5
,Nampa,"91,520",167,112,55
,Orofino,"3,056",6,5,1
,Osburn,"1,503",2,2,0
,Parma,"2,101",4,4,0
,Payette,"7,360",16,14,2
,Pinehurst,"1,573",2,2,0
,Pocatello,"54,462",127,88,39
,Ponderay,"1,138",7,6,1
,Post Falls,"31,026",70,43,27
,Preston,"5,214",8,7,1
,Priest River,"1,761",7,5,2
,Rathdrum,"7,681",16,13,3
,Rexburg,"28,112",40,32,8
,Rigby,"4,040",8,7,1
,Rupert,"5,736",13,12,1
,Salmon,"3,019",8,8,0
,Sandpoint,"7,931",20,17,3
